dataset,k,alpha,method,cost,cost_dev,time,time_dev,nmi,nmi_dev,ari,ari_dev
usps,30,0.2,Ours1,268439.7911721255,397.4295788074041,0.37101986408233645,0.024456650300855486,0.9226076106500669,0.01050662061663761,0.9249671610104062,0.01202732923423187
usps,30,0.2,Ours2,275473.2313307723,121.41581342735212,14.947505903244018,0.6113862901554077,0.915205754862766,0.0010926205053053192,0.9122147972824948,0.001251092337488596
usps,30,0.2,OPT,264052.9780048544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usps,40,0.2,kmeans++,357165.1470387313,3497.6077520143835,0.07521195411682129,0.013129122730149349,0.6466150919038721,0.010795053339716214,0.44994939696219155,0.050402303506637415
usps,40,0.2,Algo1,261576.95974052307,158.85798902984416,1.5069845199584961,0.022448624359661964,0.8791691445244616,0.001158774601354338,0.8372419473282744,0.002269868947326858
usps,40,0.2,Det,253764.84712317944,2.9103830456733704e-11,1.5871211528778075,0.024910456225726175,0.9006919850712537,0.0,0.8743497119689166,0.0
usps,40,0.2,Ours,254435.28221285334,496.9782128521463,1.5868866920471192,0.023547558230928984,0.8831776905309361,0.008510487589282899,0.84557400655413,0.018928361339555597
usps,40,0.2,Ours1,245266.59632237008,452.97523598039135,0.33414583206176757,0.012254469806356314,0.9371491922540447,0.009282686312710602,0.9194468476333292,0.01800625235101968
usps,40,0.2,Ours2,254465.34997696397,96.84443162264334,16.94866027832031,0.1629066724945317,0.9069629747552602,0.0013143780636193914,0.8824198927366431,0.002206486942468227
usps,40,0.2,OPT,241896.2435608887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usps,50,0.2,kmeans++,339675.4397344325,3479.573166664511,0.08523979187011718,0.009561177354404891,0.6425013883932695,0.006879463246191955,0.3850826689646048,0.023664420256698543
usps,50,0.2,Algo1,248369.30679170796,175.5155604294735,1.5086267948150636,0.025072981164399606,0.884657344636363,0.0017821997095650217,0.8233385668700004,0.0032358483053652686
usps,50,0.2,Det,239983.65565561783,0.0,1.5562348365783691,0.021585277508435065,0.907035182228048,0.0,0.8642752441227384,1.1102230246251565e-16
usps,50,0.2,Ours,241513.92846398376,635.3488774171307,1.5523882389068604,0.02084255897128698,0.8895862721171278,0.00664051831005232,0.8291795637362671,0.014534329297223963
usps,50,0.2,Ours1,232962.95827556885,207.03141533059414,0.3145716428756714,0.005687717734056892,0.9361073226407326,0.007987382831516175,0.9074904748834424,0.012565329034682207
usps,50,0.2,Ours2,241369.21589341146,67.27667327795236,20.30937886238098,0.2546971929893659,0.910947451489528,0.000777513962269344,0.8716027263261206,0.0013573042828479605
usps,50,0.2,OPT,230033.20320811568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
